"","o","nn","CP","RCC_VAR","NUMB_ME","NUMB_ME_AD","DENS","COR","Q_VAR","NUMB_PRO","NUMB_RES","EUCD","MAPE","MSE"
"1",1,1,1,-1,1,0,0.581100854114629,0.6,1,50,50,47987.67,0.3174,46056338.65
"2",2,2,1,-1,1,0,0.600662242667749,0.6,1,50,50,80673.5,0.4516,130164256.34
"3",3,3,1,-1,1,0,0.411194681562483,0.6,1,50,50,90956.49,0.5097,165461662.96
"4",4,4,1,-1,1,0,0.646213971078396,0.6,1,50,50,63786.74,0.3607,81374955.92
"5",5,5,1,-1,1,0,0.502418004628271,0.6,1,50,50,69534.69,0.4149,96701458.9
"6",6,6,1,-1,1,0,0.528975471318699,0.6,1,50,50,80117.05,0.4768,128374819.15
"7",7,7,1,-1,1,0,0.412316014245153,0.6,1,50,50,106405.13,0.6422,226441023.68
"8",8,8,1,-1,1,0,0.442713158833794,0.6,1,50,50,67892.18,0.3865,92186964.89
"9",9,9,1,-1,1,0,0.538562083779834,0.6,1,50,50,75921.25,0.4199,115280734.27
"10",10,10,1,-1,1,0,0.613443311024457,0.6,1,50,50,90998.39,0.5061,165614123.82
"11",11,11,1,-1,1,0,0.481772534875199,0.6,1,50,50,93972.82,0.5235,176617831.12
"12",12,12,1,-1,1,0,0.545824333373457,0.6,1,50,50,77064.57,0.4246,118778968.91
"13",13,13,1,-1,1,0,0.58153582746163,0.6,1,50,50,49189.88,0.3443,48392892.18
"14",14,14,1,-1,1,0,0.646496720681898,0.6,1,50,50,70146.53,0.4139,98410723.55
"15",15,15,1,-1,1,0,0.536807818780653,0.6,1,50,50,42169.74,0.2642,35565737.55
"16",16,16,1,-1,1,0,0.508537802146748,0.6,1,50,50,66136.79,0.3526,87481487.97
"17",17,17,1,-1,1,0,0.687040731543675,0.6,1,50,50,80634.91,0.4515,130039788.63
"18",18,18,1,-1,1,0,0.447700105747208,0.6,1,50,50,75745.43,0.4801,114747392.12
"19",19,19,1,-1,1,0,0.66380769724492,0.6,1,50,50,54988.56,0.329,60474837.59
"20",20,20,1,-1,1,0,0.645751084457152,0.6,1,50,50,66966.99,0.3398,89691562.76
"21",21,21,1,-1,1,0,0.630130838835612,0.6,1,50,50,48273.88,0.3013,46607356.74
"22",22,22,1,-1,1,0,0.434364549210295,0.6,1,50,50,79046.34,0.4236,124966493.13
"23",23,23,1,-1,1,0,0.561288940045051,0.6,1,50,50,84184.09,0.4805,141739236.77
"24",24,24,1,-1,1,0,0.623857662407681,0.6,1,50,50,62730.44,0.3624,78702149.65
"25",25,25,1,-1,1,0,0.546056250855327,0.6,1,50,50,57607.11,0.3455,66371578.47
"26",26,26,1,-1,1,0,0.443049039994366,0.6,1,50,50,61064.56,0.3754,74577599.47
"27",27,27,1,-1,1,0,0.54831092916429,0.6,1,50,50,71269.11,0.3893,101585726.56
"28",28,28,1,-1,1,0,0.486136204237118,0.6,1,50,50,72795.45,0.3898,105983557.26
"29",29,29,1,-1,1,0,0.669196499069221,0.6,1,50,50,73077.25,0.431,106805696.52
"30",30,30,1,-1,1,0,0.540552909276448,0.6,1,50,50,88786.32,0.5059,157660202.62
"31",31,31,1,-1,1,0,0.626985657773912,0.6,1,50,50,73304.55,0.4404,107471144.22
"32",32,32,1,-1,1,0,0.473099998920225,0.6,1,50,50,88721.35,0.4704,157429557.98
"33",33,33,1,-1,1,0,0.573152511380613,0.6,1,50,50,70015.6,0.4105,98043698
"34",34,34,1,-1,1,0,0.484856396797113,0.6,1,50,50,71820.58,0.4011,103163900.49
"35",35,35,1,-1,1,0,0.498736851080321,0.6,1,50,50,72763.82,0.4347,105891474.86
"36",36,36,1,-1,1,0,0.411517953267321,0.6,1,50,50,75252.52,0.4381,113258830.65
"37",37,37,1,-1,1,0,0.532891259063035,0.6,1,50,50,88184.96,0.4752,155531727.15
"38",38,38,1,-1,1,0,0.640598619263619,0.6,1,50,50,73269.09,0.3763,107367200.27
"39",39,39,1,-1,1,0,0.473726821527816,0.6,1,50,50,46751.11,0.3159,43713319.68
"40",40,40,1,-1,1,0,0.587667353986763,0.6,1,50,50,72425.16,0.4196,104908080.13
"41",41,41,1,-1,1,0,0.558641563425772,0.6,1,50,50,77302.11,0.4466,119512337.87
"42",42,42,1,-1,1,0,0.445486998395063,0.6,1,50,50,73435.33,0.4862,107854949.77
"43",43,43,1,-1,1,0,0.50105085587129,0.6,1,50,50,60637.39,0.3593,73537865.33
"44",44,44,1,-1,1,0,0.675347160361707,0.6,1,50,50,57007.27,0.3522,64996587.16
"45",45,45,1,-1,1,0,0.653478253004141,0.6,1,50,50,92651.86,0.4936,171687341.07
"46",46,46,1,-1,1,0,0.443149840761907,0.6,1,50,50,60894.85,0.3683,74163643.04
"47",47,47,1,-1,1,0,0.539339015795849,0.6,1,50,50,101467.54,0.508,205913250.92
"48",48,48,1,-1,1,0,0.43035162393935,0.6,1,50,50,92106.52,0.4706,169672203.71
