"","o","nn","CP","RCC_VAR","NUMB_ME","NUMB_ME_AD","DENS","COR","Q_VAR","NUMB_PRO","NUMB_RES","EUCD","MAPE","MSE"
"1",1,1,1,5.31951799802482,1,0,0.581100854114629,0.6,1,50,50,105449.35,1.2133,222391315.39
"2",2,2,1,5.18093753163703,1,0,0.411429763492197,0.6,1,50,50,177863.8,8.6749,632710641.04
"3",3,3,1,5.29867961141281,1,0,0.437261848337948,0.6,1,50,50,202378.2,2.7684,819138713.7
"4",4,4,1,5.348469004035,1,0,0.552713045547716,0.6,1,50,50,127402.41,2.2593,324627464.6
"5",5,5,1,5.39968572813086,1,0,0.695705583319068,0.6,1,50,50,146670.99,2.142,430247615.21
"6",6,6,1,5.45268444274552,1,0,0.472087400476448,0.6,1,50,50,212129.06,11.5752,899974768.63
"7",7,7,1,5.49162160605192,1,0,0.549240399664268,0.6,1,50,50,163506.52,1.6781,534687620.06
"8",8,8,1,5.02394695207477,1,0,0.521215936122462,0.6,1,50,50,101703.87,1.6074,206873524.62
"9",9,9,1,5.72526123281568,1,0,0.401784951426089,0.6,1,50,50,154555.7,5.3749,477749280.39
"10",10,10,1,5.39351937221363,1,0,0.684155034227297,0.6,1,50,50,138873.38,3.8335,385716310.83
"11",11,11,1,5.08290571556427,1,0,0.502035341621377,0.6,1,50,50,141565.24,3.1179,400814317.41
"12",12,12,1,5.68852224783041,1,0,0.629702406865545,0.6,1,50,50,140314.3,14.2928,393762031.51
"13",13,13,1,5.44654440088198,1,0,0.515932110371068,0.6,1,50,50,127162.07,1.7106,323403858.07
"14",14,14,1,5.62624283065088,1,0,0.627988345595077,0.6,1,50,50,138426.56,1.6852,383238265.06
"15",15,15,1,5.77336389780976,1,0,0.511393047031015,0.6,1,50,50,141911.09,12.3592,402775130.85
"16",16,16,1,5.595486627426,1,0,0.590083184302785,0.6,1,50,50,135049.84,1.5742,364769192.59
"17",17,17,1,5.75331195769832,1,0,0.620766314608045,0.6,1,50,50,177425.36,3.7753,629595148.47
"18",18,18,1,5.13226573891006,1,0,0.640705929556861,0.6,1,50,50,145778.71,6.6091,425028618.45
"19",19,19,1,5.06620271038264,1,0,0.442773665487766,0.6,1,50,50,143616.46,3.0521,412513752.05
"20",20,20,1,5.50880907359533,1,0,0.632547880196944,0.6,1,50,50,165021.14,3.4828,544639534.84
"21",21,21,1,5.30471726693213,1,0,0.55523883420974,0.6,1,50,50,118035,1.4535,278645207.56
"22",22,22,1,5.69878813438118,1,0,0.556930562807247,0.6,1,50,50,121743.34,2.137,296428813.18
"23",23,23,1,5.03559566568583,1,0,0.633632114855573,0.6,1,50,50,114942.72,1.7061,264236577.85
"24",24,24,1,5.57198169734329,1,0,0.496128490963019,0.6,1,50,50,146687.1,25.9459,430342085.91
"25",25,25,1,5.97795303934254,1,0,0.571388737671077,0.6,1,50,50,182790.71,5.06,668248862.35
"26",26,26,1,5.13796122209169,1,0,0.685694911377504,0.6,1,50,50,131455.12,3.3209,345608952.1
"27",27,27,1,5.18592784297653,1,0,0.458840996725485,0.6,1,50,50,168802.38,11.4679,569884848.4
"28",28,28,1,5.26300502452068,1,0,0.660697026015259,0.6,1,50,50,133694.95,4.2548,357486807.27
"29",29,29,1,5.17512618447654,1,0,0.516605654545128,0.6,1,50,50,129922.02,1.2992,337594619.62
"30",30,30,1,5.53414775221609,1,0,0.566739420243539,0.6,1,50,50,121494.68,0.7957,295219146.26
"31",31,31,1,5.62619369453751,1,0,0.450086682802066,0.6,1,50,50,178526.95,9.7149,637437471.14
"32",32,32,1,5.35358224110678,1,0,0.489011391554959,0.6,1,50,50,165549.79,4.9263,548134670.51
"33",33,33,1,5.84329052246176,1,0,0.530043936194852,0.6,1,50,50,130099.2,20.3319,338516030.53
"34",34,34,1,5.9678352533374,1,0,0.547550725680776,0.6,1,50,50,141643.9,1.5072,401259907.44
"35",35,35,1,5.25915715959854,1,0,0.603393453126773,0.6,1,50,50,130281.71,6.5278,339466475.04
"36",36,36,1,5.27675013663247,1,0,0.598258083313703,0.6,1,50,50,145932.58,1.9239,425926363.22
"37",37,37,1,5.2632523055654,1,0,0.539693594537675,0.6,1,50,50,110597.02,0.7594,244634023.23
"38",38,38,1,5.17308810679242,1,0,0.661799354059622,0.6,1,50,50,147116.07,3.6177,432862745.48
"39",39,39,1,5.64761207974516,1,0,0.600576906441711,0.6,1,50,50,29124.99,0.1941,16965305.05
