"","o","nn","CP","RCC_VAR","NUMB_ME","NUMB_ME_AD","DENS","COR","Q_VAR","NUMB_PRO","NUMB_RES","EUCD","MAPE","MSE"
"40",40,40,1,5.64129786915146,1,0,0.553356849611737,0.6,1,50,50,117906.87,1.5606,278040601.12
"41",41,41,1,5.16603687265888,1,0,0.649750322219916,0.6,1,50,50,102016.84,0.811,208148701.93
"42",42,42,1,5.95095050917007,1,0,0.453845379780978,0.6,1,50,50,167653.38,4.3452,562153109.91
"43",43,43,1,5.05828612740152,1,0,0.462777050444856,0.6,1,50,50,154729.27,12.7712,478822932.18
"44",44,44,1,5.31837718049064,1,0,0.452868449897505,0.6,1,50,50,121512.43,392.9785,295305388.63
"45",45,45,1,5.97719097346999,1,0,0.608934011752717,0.6,1,50,50,122441,3.0364,299835987.07
"46",46,46,1,5.64064072212204,1,0,0.677553019952029,0.6,1,50,50,158730.05,1.861,503904569.59
"47",47,47,1,5.54202658077702,1,0,0.682940229703672,0.6,1,50,50,97180.86,3.5543,188882373.43
"48",48,48,1,5.71633016737178,1,0,0.53085234540049,0.6,1,50,50,174668.08,2.5738,610178784.2
"49",49,49,1,5.67641556449234,1,0,0.521721612918191,0.6,1,50,50,135574.58,5.685,367609335.23
"50",50,50,1,5.27726779947989,1,0,0.690357757895254,0.6,1,50,50,138911.27,1.0352,385926827.52
"51",51,51,1,5.68695688364096,1,0,0.463574786833487,0.6,1,50,50,160377.81,9.0416,514420867.6
"52",52,52,1,5.07015459146351,1,0,0.486256270320155,0.6,1,50,50,111824.63,1.4899,250094945.3
"53",53,53,1,5.42157098418102,1,0,0.505008944356814,0.6,1,50,50,110267,0.8468,243176234.8
"54",54,54,1,5.41071186168119,1,0,0.457602009223774,0.6,1,50,50,148578.02,1.4336,441508585.88
"55",55,55,1,5.49456014554016,1,0,0.513777068234049,0.6,1,50,50,126701.74,3.5447,321066594.36
"56",56,56,1,5.8807861469686,1,0,0.531120460061356,0.6,1,50,50,166441.42,4.1531,554054910.5
"57",57,57,1,5.59537243214436,1,0,0.445200147177093,0.6,1,50,50,195937.83,486.0038,767832702.23
"58",58,58,1,5.84667947585694,1,0,0.50982545602601,0.6,1,50,50,208645.85,4.6182,870661781.07
"59",59,59,1,5.74366479041055,1,0,0.415362024400383,0.6,1,50,50,146955.54,1.9765,431918620.1
"60",60,60,1,5.3812330358196,1,0,0.477656873315573,0.6,1,50,50,102864.63,0.8704,211622636.81
"61",61,61,1,5.24579977802932,1,0,0.516852260683663,0.6,1,50,50,125490.26,2.5462,314956103.58
"62",62,62,1,5.17005981877446,1,0,0.451123480848037,0.6,1,50,50,139861.43,1.274,391224400.86
"63",63,63,1,5.93896931689233,1,0,0.571212633466348,0.6,1,50,50,178686.15,2.0012,638574813.23
"64",64,64,1,5.12429520464502,1,0,0.670424513472244,0.6,1,50,50,167563.64,10.059,561551499.13
"65",65,65,1,5.68708128412254,1,0,0.472372855967842,0.6,1,50,50,129488.81,2.2748,335347060.78
"66",66,66,1,5.9339673735667,1,0,0.441510923812166,0.6,1,50,50,154859.11,2.1911,479626849.97
"67",67,67,1,5.05544194625691,1,0,0.515716951037757,0.6,1,50,50,191393.7,34.4325,732631003.43
"68",68,68,1,5.41289361589588,1,0,0.515077380184084,0.6,1,50,50,154659.09,39.8786,478388703.61
"69",69,69,1,5.11201112368144,1,0,0.562487059831619,0.6,1,50,50,192241.97,4.0316,739139498.49
"70",70,70,1,5.78854175354354,1,0,0.549148719874211,0.6,1,50,50,136976.89,2.5154,375253394.47
"71",71,71,1,5.42304090689868,1,0,0.570506915007718,0.6,1,50,50,133251.9,1.6883,355121356.94
"72",72,72,1,5.84970972756855,1,0,0.453349357051775,0.6,1,50,50,85070.54,0.4318,144739941.25
"73",73,73,1,5.42532475036569,1,0,0.640836311038584,0.6,1,50,50,139756.28,2.244,390636357.54
"74",74,74,1,5.29447058821097,1,0,0.527711962070316,0.6,1,50,50,70537.07,0.5063,99509553.7
"75",75,75,1,5.85316663514823,1,0,0.535428520385176,0.6,1,50,50,134775.65,1.1262,363289533.13
"76",76,76,1,5.17745236726478,1,0,0.462344360188581,0.6,1,50,50,159221.34,10.8415,507028690.78
"77",77,77,1,5.67546562151983,1,0,0.575735246343538,0.6,1,50,50,112177.75,0.981,251676964.03
"78",78,78,1,5.31580525776371,1,0,0.44305303201545,0.6,1,50,50,140274.22,0.9839,393537154.55
"79",79,79,1,5.45174819347449,1,0,0.599252732121386,0.6,1,50,50,148439.66,4.8265,440686667.21
"80",80,80,1,5.45230594696477,1,0,0.531321821734309,0.6,1,50,50,148865.99,9.2158,443221633.95
"81",81,81,1,5.40818408946507,1,0,0.418956652120687,0.6,1,50,50,135499.03,1.4825,367199758.84
"82",82,82,1,5.68710970692337,1,0,0.680500362743623,0.6,1,50,50,115787.75,2.7924,268136056.45
"83",83,83,1,5.12764886161312,1,0,0.625519320438616,0.6,1,50,50,138922.84,1.046,385991088.65
"84",84,84,1,5.32761514023878,1,0,0.57519036619924,0.6,1,50,50,152436.12,3.5696,464735416.8
"85",85,85,1,5.41108070174232,1,0,0.696214754669927,0.6,1,50,50,120063.65,1.2973,288305592.1
"86",86,86,1,5.26591316261329,1,0,0.553112826985307,0.6,1,50,50,144176.26,1.5019,415735884.98
"87",87,87,1,5.98969985404983,1,0,0.671090735006146,0.6,1,50,50,110015.79,1.2853,242069480.53
"88",88,88,1,5.6797225268092,1,0,0.653091219463386,0.6,1,50,50,115595.13,0.9007,267244696.1
"89",89,89,1,5.67877700226381,1,0,0.439585392642766,0.6,1,50,50,122719.04,2.0419,301199257.83
"90",90,90,1,5.66927586891688,1,0,0.618006035988219,0.6,1,50,50,103051.25,1.1685,212391194.49
"91",91,91,1,5.1835260684602,1,0,0.637625256739557,0.6,1,50,50,172488.19,7.5921,595043540.21
"92",92,92,1,5.3886330134701,1,0,0.572444489086047,0.6,1,50,50,182422.54,29.6804,665559639.62
"93",93,93,1,5.95621275040321,1,0,0.512016346864402,0.6,1,50,50,113883.94,1.0386,259391046.26
"94",94,94,1,5.69992602919228,1,0,0.614518955349922,0.6,1,50,50,153325.76,2.0653,470175802.19
"95",95,95,1,5.43763746554032,1,0,0.698642237228341,0.6,1,50,50,86656.47,0.9533,150186876.97
"96",96,96,1,5.69174233195372,1,0,0.503209480922669,0.6,1,50,50,146949.23,1.9671,431881530.72
"97",97,97,1,5.65009565441869,1,0,0.486703047621995,0.6,1,50,50,114255.77,4.1686,261087633.94
"98",98,98,1,5.0499385392759,1,0,0.633075433131307,0.6,1,50,50,56182.57,0.3376,63129632.93
"99",99,99,1,5.5719200540334,1,0,0.473574575223029,0.6,1,50,50,176553.81,4.4661,623424971.28
"100",100,100,1,5.39120296621695,1,0,0.524633454298601,0.6,1,50,50,83715.65,0.4903,140166205.93
"101",101,101,1,5.63185058161616,1,0,0.670510140550323,0.6,1,50,50,124728.07,0.9659,311141844.15
"102",102,102,1,5.42333707073703,1,0,0.438621214777231,0.6,1,50,50,123661.88,2.6365,305845228.42
"103",103,103,1,5.24593356321566,1,0,0.668098414991982,0.6,1,50,50,135146.15,21.7684,365289659.11
"104",104,104,1,5.89710181159899,1,0,0.69593258195091,0.6,1,50,50,126953.36,1.3992,322343105.26
"105",105,105,1,5.32877492951229,1,0,0.410456983069889,0.6,1,50,50,168988.26,6.7299,571140618.67
"106",106,106,1,5.38983344729058,1,0,0.586082187178545,0.6,1,50,50,135224.27,24.5096,365712085.89
"107",107,107,1,5.92714162962511,1,0,0.657869282504544,0.6,1,50,50,121960.82,1.587,297488836.5
"108",108,108,1,5.85000371024944,1,0,0.432262951903977,0.6,1,50,50,185330.29,2726.1034,686946359.52
"109",109,109,1,5.76863000472076,1,0,0.447425848967396,0.6,1,50,50,177461.59,20.2739,629852322.95
"110",110,110,1,5.29297648230568,1,0,0.640423929085955,0.6,1,50,50,107677.38,1.0731,231888381.37
"111",111,111,1,5.8348872680217,1,0,0.555445687356405,0.6,1,50,50,146849.44,4.0767,431295176.3
"112",112,112,1,5.41595284943469,1,0,0.644316638237797,0.6,1,50,50,146086.26,2.635,426823881.32
"113",113,113,1,5.70784510206431,1,0,0.646349521540105,0.6,1,50,50,72755.47,0.4155,105867164.03
"114",114,114,1,5.75567583367229,1,0,0.5735118198907,0.6,1,50,50,106486.99,1.1116,226789562.61
"115",115,115,1,5.22502960800193,1,0,0.684915272076614,0.6,1,50,50,108669.77,1.4577,236182365.93
"116",116,116,1,5.91960939578712,1,0,0.552307212306187,0.6,1,50,50,190850.4,27.1237,728477533.3
"117",117,117,1,5.21591028943658,1,0,0.409849493182264,0.6,1,50,50,173659.71,19.1831,603153863.01
"118",118,118,1,5.34750914084725,1,0,0.44240032650996,0.6,1,50,50,165740.37,82.9543,549397424.44
"119",119,119,1,5.50620922376402,1,0,0.597901887493208,0.6,1,50,50,128133.21,1.5773,328362389.69
"120",120,120,1,5.65284319012426,1,0,0.591020845877938,0.6,1,50,50,81290.03,0.4388,132161390.75
"121",121,121,1,5.38545407028869,1,0,0.699105603783391,0.6,1,50,50,96839.28,2.7338,187556918.96
"122",122,122,1,5.23048964492045,1,0,0.419045270700008,0.6,1,50,50,170004.37,1.9205,578029716.38
"123",123,123,1,5.91895642410964,1,0,0.661901309364475,0.6,1,50,50,81378.19,0.668,132448204.54
"124",124,124,1,5.08449965645559,1,0,0.421029442921281,0.6,1,50,50,173861.03,134.7535,604553154.17
"125",125,125,1,5.73899565148167,1,0,0.469470915012062,0.6,1,50,50,176284.23,3.975,621522574.84
"126",126,126,1,5.21615861123428,1,0,0.429963748296723,0.6,1,50,50,145118.05,8.0667,421184949.86
"127",127,127,1,5.09983579092659,1,0,0.635582888196222,0.6,1,50,50,148214.08,4.6241,439348245.02
"128",128,128,1,5.2834931651596,1,0,0.470911214593798,0.6,1,50,50,162636.93,20.293,529015439.07
"129",129,129,1,5.94072011252865,1,0,0.49317033754196,0.6,1,50,50,124498.75,2.0798,309998767.86
"130",130,130,1,5.08686262369156,1,0,0.660070298612118,0.6,1,50,50,132408.16,18.4446,350638397.59
"131",131,131,1,5.2009610098321,1,0,0.573891944717616,0.6,1,50,50,144979.49,1.7671,420381042.45
"132",132,132,1,5.93219326017424,1,0,0.667154153925367,0.6,1,50,50,165931.76,3.0243,550666992.21
"133",133,133,1,5.04625107999891,1,0,0.532296933652833,0.6,1,50,50,201930.35,53.6325,815517347.19
"134",134,134,1,5.51429823460057,1,0,0.537791302823462,0.6,1,50,50,137557.33,1.5094,378440398.32
"135",135,135,1,5.29905916214921,1,0,0.501619821623899,0.6,1,50,50,166858.85,44.6764,556837512.91
"136",136,136,1,5.19383946689777,1,0,0.599795333226211,0.6,1,50,50,123947.29,5.715,307258592.94
"137",137,137,1,5.90045519568957,1,0,0.526956975483336,0.6,1,50,50,152400.33,2.4805,464517226.17
"138",138,138,1,5.63388735870831,1,0,0.550110946921632,0.6,1,50,50,143001.96,1.9408,408991221.44
"139",139,139,1,5.44100746582262,1,0,0.597013829252683,0.6,1,50,50,150654.45,15.8924,453935277.35
"140",140,140,1,5.55130670242943,1,0,0.457402745261788,0.6,1,50,50,164676.51,3.4947,542367036.94
"141",141,141,1,5.06027457630262,1,0,0.61573542074766,0.6,1,50,50,162906.33,11.8987,530769417.98
"142",142,142,1,5.47998532210477,1,0,0.554740713280626,0.6,1,50,50,149355.11,11.2069,446138989.56
"143",143,143,1,5.00259408564307,1,0,0.594510386115871,0.6,1,50,50,153757.08,1.6104,472824821.12
"144",144,144,1,5.3111187973991,1,0,0.459461025940254,0.6,1,50,50,161393.02,9.5609,520954128.13
"145",145,145,1,5.232851017965,1,0,0.592833345057443,0.6,1,50,50,109701.83,1.1189,240689836.03
"146",146,146,1,5.04878506832756,1,0,0.597235520603135,0.6,1,50,50,154367.98,3.6863,476589474.6
"147",147,147,1,5.20562182622962,1,0,0.529020811337978,0.6,1,50,50,120392.12,1.2554,289885250.07
"148",148,148,1,5.61343045835383,1,0,0.692003371147439,0.6,1,50,50,96372.75,0.9857,185754123.42
"149",149,149,1,5.14980096998625,1,0,0.440151821402833,0.6,1,50,50,135909.98,1.3565,369430465.01
"150",150,150,1,5.87340912572108,1,0,0.41640583795961,0.6,1,50,50,127110.81,16.054,323143156.49
"151",151,151,1,5.20231888070703,1,0,0.620327485376038,0.6,1,50,50,155283.91,3.7204,482261879.23
"152",152,152,1,5.28668579412624,1,0,0.677203084365465,0.6,1,50,50,136003.4,3.4977,369938516.36
"153",153,153,1,5.9373816899024,1,0,0.616745139518753,0.6,1,50,50,131207.26,2.0635,344306920.26
"154",154,154,1,5.64778511412442,1,0,0.618916323874146,0.6,1,50,50,107545.68,0.831,231321464.77
"155",155,155,1,5.06973344902508,1,0,0.662213176791556,0.6,1,50,50,104588.33,1.067,218774394.85
"156",156,156,1,5.36189279705286,1,0,0.699107578000985,0.6,1,50,50,81109.56,1.0774,131575203.35
"157",157,157,1,5.2177393482998,1,0,0.687858700449578,0.6,1,50,50,126992.3,1.2279,322540882.44
"158",158,158,1,5.39838656480424,1,0,0.534994680341333,0.6,1,50,50,126009.08,0.8886,317565766.18
"159",159,159,1,5.59876973088831,1,0,0.532904703426175,0.6,1,50,50,135858.8,1.5845,369152268.5
"160",160,160,1,5.28520698519424,1,0,0.425594559311867,0.6,1,50,50,204536.67,5.7312,836704948.69
"161",161,161,1,5.95179697289132,1,0,0.622424782835878,0.6,1,50,50,104852.89,1.5953,219882570.08
"162",162,162,1,5.00288525223732,1,0,0.532620844477788,0.6,1,50,50,170275.18,1.5804,579872737.5
"163",163,163,1,5.72995432605967,1,0,0.41017255471088,0.6,1,50,50,113324.7,1.0705,256849736.52
"164",164,164,1,5.63143880362622,1,0,0.577815012983046,0.6,1,50,50,122032.03,1.3241,297836314.52
"165",165,165,1,5.36843012273312,1,0,0.459922453202307,0.6,1,50,50,159854.9,2.7617,511071760.45
"166",166,166,1,5.7156321129296,1,0,0.48135779495351,0.6,1,50,50,107092.32,1.1876,229375290.07
"167",167,167,1,5.87748590484262,1,0,0.575699741998687,0.6,1,50,50,149776.99,3.5402,448662916.11
"168",168,168,1,5.65760803362355,1,0,0.428479010658339,0.6,1,50,50,184797.89,18.7917,683005191.27
"169",169,169,1,5.40833347756416,1,0,0.586618722090498,0.6,1,50,50,70188.02,0.3587,98527161.7
"170",170,170,1,5.63180471793748,1,0,0.491544910077937,0.6,1,50,50,153108.36,2.9964,468843375.73
"171",171,171,1,5.31698359083384,1,0,0.634349792473949,0.6,1,50,50,93000.97,0.8713,172983621.22
"172",172,172,1,5.08813213021494,1,0,0.573709923238493,0.6,1,50,50,157887.02,4.5276,498566214.17
"173",173,173,1,5.00489808851853,1,0,0.434846802218817,0.6,1,50,50,146091.86,2.4225,426856616.14
"174",174,174,1,5.95248330989853,1,0,0.422858838899992,0.6,1,50,50,209353.44,11.2197,876577222.52
"175",175,175,1,5.88118912698701,1,0,0.459267465164885,0.6,1,50,50,134903.92,2.0641,363981358.61
"176",176,176,1,5.03566424152814,1,0,0.534662771574222,0.6,1,50,50,138090.13,1.4323,381377661.97
"177",177,177,1,5.39445842523128,1,0,0.698037700355053,0.6,1,50,50,115622.84,1.4491,267372820.89
"178",178,178,1,5.20699218893424,1,0,0.659781222557649,0.6,1,50,50,119504.53,0.7119,285626668.04
"179",179,179,1,5.63102603680454,1,0,0.494355944753624,0.6,1,50,50,177209.06,33.9765,628061017.25
"180",180,180,1,5.72736541274935,1,0,0.438291802420281,0.6,1,50,50,234891.95,12.2224,1103484549.75
"181",181,181,1,5.98936511017382,1,0,0.604246953409165,0.6,1,50,50,115696.03,1.5338,267711433.57
"182",182,182,1,5.07569026830606,1,0,0.465460936189629,0.6,1,50,50,175592.21,14.6144,616652465.32
"183",183,183,1,5.29953874321654,1,0,0.503410041914321,0.6,1,50,50,168235.59,83.0649,566064299.73
"184",184,184,1,5.01078077615239,1,0,0.411980204749852,0.6,1,50,50,139745.15,2.013,390574111.22
"185",185,185,1,5.65553649701178,1,0,0.405553180724382,0.6,1,50,50,184161.8,6.7783,678311386.42
"186",186,186,1,5.05570341576822,1,0,0.690791946696117,0.6,1,50,50,147717.11,2.4825,436406872.13
"187",187,187,1,5.61290414282121,1,0,0.530801766482182,0.6,1,50,50,192235.01,344.5518,739086009.76
"188",188,188,1,5.80757764540613,1,0,0.631650557997636,0.6,1,50,50,135165.91,5.4755,365396440.68
"189",189,189,1,5.89749882440083,1,0,0.688910387828946,0.6,1,50,50,130494.89,0.8324,340578301.32
"190",190,190,1,5.63782502501272,1,0,0.466730290278792,0.6,1,50,50,150331.21,4.1716,451989437.42
"191",191,191,1,5.45843863207847,1,0,0.569362024986185,0.6,1,50,50,88862.34,0.8312,157930318.61
"192",192,192,1,5.1243588780053,1,0,0.630677090398967,0.6,1,50,50,112515.17,10.446,253193267.47
"193",193,193,1,5.49273473280482,1,0,0.565271605318412,0.6,1,50,50,156612.31,1.4808,490548337.81
"194",194,194,1,5.84419393423013,1,0,0.523895777948201,0.6,1,50,50,177689.42,40.9039,631470574.25
"195",195,195,1,5.7851200918667,1,0,0.659325781930238,0.6,1,50,50,149808.83,1.5752,448853723.08
"196",196,196,1,5.64754161727615,1,0,0.604332997626625,0.6,1,50,50,120120.16,1.5241,288577055.73
"197",197,197,1,5.3900262566749,1,0,0.59127481370233,0.6,1,50,50,153343.44,4.3102,470284228.8
"198",198,198,1,5.1422097387258,1,0,0.619317415193655,0.6,1,50,50,136320.64,2.0183,371666342.57
"199",199,199,1,5.01702858158387,1,0,0.607856848905794,0.6,1,50,50,56153.12,0.3757,63063460.97
"200",200,200,1,5.63378532393835,1,0,0.407554766070098,0.6,1,50,50,171777.42,9.9469,590149637.68
"201",201,1,2,5.99709900445305,1,0,0.679411158245057,0.6,1,50,50,33563.7,0.3551,22530432.65
"202",202,2,2,5.34403783059679,1,0,0.596958039165475,0.6,1,50,50,37231.3,0.3945,27723395.1
"203",203,3,2,5.03039731178433,1,0,0.453158449009061,0.6,1,50,50,26582.69,0.5006,14132784.53
"204",204,4,2,5.0477414552588,1,0,0.486317103309557,0.6,1,50,50,43874.22,0.4378,38498943.58
"205",205,5,2,5.59027166781016,1,0,0.649614740395918,0.6,1,50,50,40641.52,0.3146,33034664.58
"206",206,6,2,5.21358977258205,1,0,0.499499544547871,0.6,1,50,50,33937.49,0.433,23035064.37
"207",207,7,2,5.05258334684186,1,0,0.672203962318599,0.6,1,50,50,50002.53,0.3438,50005052.61
"208",208,8,2,5.62903953925706,1,0,0.425860186014324,0.6,1,50,50,16805.77,0.4045,5648677.79
"209",209,9,2,5.85122713819146,1,0,0.548858728026971,0.6,1,50,50,191.47,0.1411,733.18
"210",210,10,2,5.68836513953283,1,0,0.667154742544517,0.6,1,50,50,45388.56,0.3484,41202418.99
"211",211,11,2,5.1432785987854,1,0,0.414856119686738,0.6,1,50,50,73954.71,0.5738,109385974.89
"212",212,12,2,5.81017410825007,1,0,0.466661589615978,0.6,1,50,50,112626.88,0.7052,253696302.32
"213",213,13,2,5.90994667843916,1,0,0.689820461766794,0.6,1,50,50,69774.96,0.366,97370899.82
"214",214,14,2,5.9457998322323,1,0,0.665660153864883,0.6,1,50,50,36162.07,0.2942,26153899.69
"215",215,15,2,5.54059892171063,1,0,0.556157107464969,0.6,1,50,50,7130.3,0.1946,1016824.42
"216",216,16,2,5.58694073674269,1,0,0.530499534471892,0.6,1,50,50,44880.3,14.9133,40284825.5
"217",217,17,2,5.67207085108384,1,0,0.481425013695844,0.6,1,50,50,42894.31,0.3788,36798439.19
"218",218,18,2,5.86609479552135,1,0,0.430914924712852,0.6,1,50,50,23271.66,0.3587,10831403.65
"219",219,19,2,5.62821512878872,1,0,0.512271963199601,0.6,1,50,50,18954.03,0.4048,7185105.5
"220",220,20,2,5.26991304080002,1,0,0.627591491607018,0.6,1,50,50,38339.86,0.3961,29398890.17
"221",221,21,2,5.59222206706181,1,0,0.559110546833836,0.6,1,50,50,35820.62,0.2981,25662333.41
"222",222,22,2,5.20702945045196,1,0,0.552659945632331,0.6,1,50,50,55092.93,0.4764,60704618.9
"223",223,23,2,5.96527681755833,1,0,0.569914287840948,0.6,1,50,50,70715.26,0.5704,100012954.32
"224",224,24,2,5.52658009203151,1,0,0.42523273692932,0.6,1,50,50,62947.66,0.5982,79248145.88
"225",225,25,2,5.15798164345324,1,0,0.426045160088688,0.6,1,50,50,8396.4,0.3017,1409990.49
"226",226,26,2,5.00479557388462,1,0,0.42896513226442,0.6,1,50,50,56017.54,0.6081,62759293.45
"227",227,27,2,5.56258165556937,1,0,0.686327408323996,0.6,1,50,50,6143.35,0.1807,754814.06
"228",228,28,2,5.91185327875428,1,0,0.602951407479122,0.6,1,50,50,56640.79,0.5098,64163577.81
"229",229,29,2,5.44146688119508,1,0,0.520418020780198,0.6,1,50,50,44458.44,0.4009,39531050.36
"230",230,30,2,5.85794356418774,1,0,0.593636397039518,0.6,1,50,50,60103.34,0.3712,72248237.48
"231",231,31,2,5.11575754242949,1,0,0.510365533060394,0.6,1,50,50,32782.59,0.2689,21493960.86
"232",232,32,2,5.14714814373292,1,0,0.685370370442979,0.6,1,50,50,88113.7,0.4545,155280492.95
"233",233,33,2,5.87166224163957,1,0,0.446944540739059,0.6,1,50,50,40931.49,0.4713,33507741.36
"234",234,34,2,5.64384205569513,1,0,0.499481994798407,0.6,1,50,50,76742.51,0.5717,117788245.34
"235",235,35,2,5.79714911198243,1,0,0.428290726291016,0.6,1,50,50,64125.45,0.7712,82241476.51
"236",236,36,2,5.88287509442307,1,0,0.427218760224059,0.6,1,50,50,31125.24,0.3958,19375611.32
"237",237,37,2,5.2816199711524,1,0,0.575240102806129,0.6,1,50,50,30634.62,0.341,18769602.91
"238",238,38,2,5.3814442649018,1,0,0.568344771163538,0.6,1,50,50,65927.94,0.3723,86929870.49
"239",239,39,2,5.87383019085974,1,0,0.409506868990138,0.6,1,50,50,10016.89,0.3704,2006761.87
"240",240,40,2,5.55674288910814,1,0,0.419869694998488,0.6,1,50,50,84986.5,0.6527,144454117.76
"241",241,41,2,5.8434208559338,1,0,0.406599054066464,0.6,1,50,50,69782.61,0.5228,97392254.78
"242",242,42,2,5.01318619470112,1,0,0.481299330550246,0.6,1,50,50,65346.18,0.5438,85402463.25
"243",243,43,2,5.64701676438563,1,0,0.496041216421872,0.6,1,50,50,56410.5,0.4718,63642897.29
"244",244,44,2,5.00524855568074,1,0,0.591481679352,0.6,1,50,50,39906.59,0.3612,31850725.93
"245",245,45,2,5.36351058725268,1,0,0.580376820429228,0.6,1,50,50,36258.23,0.2942,26293189.16
"246",246,46,2,5.7505246414803,1,0,0.461290814331733,0.6,1,50,50,35839.89,0.3646,25689950.11
"247",247,47,2,5.56045851064846,1,0,0.589876418467611,0.6,1,50,50,55444.95,0.4137,61482857.27
"248",248,48,2,5.77690723259002,1,0,0.470185555727221,0.6,1,50,50,84132.47,0.5994,141565435.48
"249",249,49,2,5.65228072972968,1,0,0.514405896351673,0.6,1,50,50,72297.87,0.7561,104539628.2
"250",250,50,2,5.96827105269767,1,0,0.646900485409424,0.6,1,50,50,61120.96,0.4582,74715424.25
"251",251,51,2,5.42104872129858,1,0,0.618926509004086,0.6,1,50,50,28566.4,0.2563,16320782.49
"252",252,52,2,5.72065898240544,1,0,0.604733006213792,0.6,1,50,50,40576.91,7.2112,32929717.14
