"","o","nn","FIRM.COSTING_SYSTEM.CP","FIRM.COSTING_SYSTEM.RC_VAR","FIRM.COSTING_SYSTEM.NUMB_Error","FIRM.COSTING_SYSTEM.Error","FIRM.PRODUCTION_ENVIRONMENT.DENS","FIRM.PRODUCTION_ENVIRONMENT.COR","FIRM.PRODUCTION_ENVIRONMENT.Q_VAR","FIRM.PRODUCTION_ENVIRONMENT.NUMB_PRO","FIRM.PRODUCTION_ENVIRONMENT.NUMB_RES","EUCD","MAPE","MSE"
"1848",1848,48,18,-1,1,0,0.674964522919618,0,1,50,50,51159.47,0.276,52345830.67
"1849",1849,49,18,-1,1,0,0.479518966539763,0,1,50,50,50402.89,0.278,50809020.69
"1850",1850,50,18,-1,1,0,0.449248916469514,0,1,50,50,46333.62,0.2978,42936078.14
"1851",1851,51,18,-1,1,0,0.649456132366322,0,1,50,50,31355.22,0.1723,19662994.14
"1852",1852,52,18,-1,1,0,0.512775561283343,0,1,50,50,47516.92,0.2523,45157158.02
"1853",1853,53,18,-1,1,0,0.521325844177045,0,1,50,50,45029.56,0.2671,40553228.35
"1854",1854,54,18,-1,1,0,0.405635834881105,0,1,50,50,60718.1,0.3593,73733745.37
"1855",1855,55,18,-1,1,0,0.547101393993944,0,1,50,50,47046.98,0.2615,44268361.06
"1856",1856,56,18,-1,1,0,0.565203308593482,0,1,50,50,42086.6,0.2586,35425644.38
"1857",1857,57,18,-1,1,0,0.434596747346222,0,1,50,50,47297.85,0.2659,44741738.53
"1858",1858,58,18,-1,1,0,0.668186458293349,0,1,50,50,35662.82,0.2111,25436737.14
"1859",1859,59,18,-1,1,0,0.490410567843355,0,1,50,50,34562.63,0.2229,23891512.26
"1860",1860,60,18,-1,1,0,0.404068733029999,0,1,50,50,56359.48,0.3219,63527809.82
"1861",1861,61,18,-1,1,0,0.511016014078632,0,1,50,50,51927.64,0.312,53929587.83
"1862",1862,62,18,-1,1,0,0.688355293148197,0,1,50,50,44122.65,0.2593,38936167.71
"1863",1863,63,18,-1,1,0,0.545558101707138,0,1,50,50,45156.18,0.2561,40781602.82
"1864",1864,64,18,-1,1,0,0.528430793667212,0,1,50,50,46555.56,0.2623,43348411.12
"1865",1865,65,18,-1,1,0,0.469044959475286,0,1,50,50,46013.14,0.2579,42344188.03
"1866",1866,66,18,-1,1,0,0.669317521248013,0,1,50,50,42957.9,0.2495,36907618.37
"1867",1867,67,18,-1,1,0,0.58859765981324,0,1,50,50,45194.77,0.2537,40851340.87
"1868",1868,68,18,-1,1,0,0.653874447685666,0,1,50,50,42900.61,0.2293,36809243.37
"1869",1869,69,18,-1,1,0,0.655187271512113,0,1,50,50,33810.61,0.2575,22863150.88
"1870",1870,70,18,-1,1,0,0.691102969436906,0,1,50,50,36010.1,0.2068,25934545.45
"1871",1871,71,18,-1,1,0,0.431097294040956,0,1,50,50,36962.22,0.2378,27324114.23
"1872",1872,72,18,-1,1,0,0.630921013769694,0,1,50,50,50606.35,0.296,51220049.77
"1873",1873,73,18,-1,1,0,0.522643848578446,0,1,50,50,36054.48,0.224,25998505.89
"1874",1874,74,18,-1,1,0,0.509990394278429,0,1,50,50,50305.46,0.2863,50612788.07
"1875",1875,75,18,-1,1,0,0.433193733403459,0,1,50,50,58595.72,0.3415,68669168.32
"1876",1876,76,18,-1,1,0,0.538079911028035,0,1,50,50,41001.16,0.2519,33621898.83
"1877",1877,77,18,-1,1,0,0.451597587554716,0,1,50,50,61384.12,0.3429,75360202.22
"1878",1878,78,18,-1,1,0,0.457754308194853,0,1,50,50,48825.32,0.3043,47678228.95
"1879",1879,79,18,-1,1,0,0.42601558866445,0,1,50,50,68962.78,0.3884,95117296.04
"1880",1880,80,18,-1,1,0,0.610695162205957,0,1,50,50,44586.99,0.2329,39759993.3
"1881",1881,81,18,-1,1,0,0.667177004669793,0,1,50,50,44020.67,0.2499,38756383.33
"1882",1882,82,18,-1,1,0,0.676784088392742,0,1,50,50,37534.59,0.2274,28176903.41
"1883",1883,83,18,-1,1,0,0.67245985022746,0,1,50,50,38960.73,0.235,30358767.45
"1884",1884,84,18,-1,1,0,0.630917561193928,0,1,50,50,45344,0.2578,41121571.2
"1885",1885,85,18,-1,1,0,0.68614343337249,0,1,50,50,48916.34,0.2379,47856171.45
"1886",1886,86,18,-1,1,0,0.515300862537697,0,1,50,50,53135.37,0.2781,56467350.91
"1887",1887,87,18,-1,1,0,0.626659535313956,0,1,50,50,43834.29,0.2595,38428899.39
"1888",1888,88,18,-1,1,0,0.628282435145229,0,1,50,50,44577.68,0.2649,39743387.03
"1889",1889,89,18,-1,1,0,0.620581502304412,0,1,50,50,39800.17,0.2461,31681075.35
"1890",1890,90,18,-1,1,0,0.497222970961593,0,1,50,50,53898.9,0.3076,58101822.14
"1891",1891,91,18,-1,1,0,0.517999388533644,0,1,50,50,35607.02,0.2312,25357195.28
"1892",1892,92,18,-1,1,0,0.553025264665484,0,1,50,50,56484.47,0.3105,63809897.4
"1893",1893,93,18,-1,1,0,0.483266608836129,0,1,50,50,51192.94,0.2947,52414351.54
"1894",1894,94,18,-1,1,0,0.547193448874168,0,1,50,50,47192.01,0.2797,44541717.54
"1895",1895,95,18,-1,1,0,0.534828011435457,0,1,50,50,52120.33,0.316,54330582.3
"1896",1896,96,18,-1,1,0,0.615124362683855,0,1,50,50,43934.88,0.2363,38605466.97
"1897",1897,97,18,-1,1,0,0.552769779716618,0,1,50,50,39905.8,0.2672,31849458.52
"1898",1898,98,18,-1,1,0,0.42935056143906,0,1,50,50,50585.26,0.309,51177365.23
"1899",1899,99,18,-1,1,0,0.485925496113487,0,1,50,50,48146.37,0.3026,46361457.93
"1900",1900,100,18,-1,1,0,0.528544789645821,0,1,50,50,57324.77,0.317,65722575.76
"1901",1901,101,18,-1,1,0,0.650285862339661,0,1,50,50,39416.37,0.2364,31073008.63
"1902",1902,102,18,-1,1,0,0.460010084183887,0,1,50,50,61664.48,0.3169,76050172.77
"1903",1903,103,18,-1,1,0,0.689348879619502,0,1,50,50,44646.82,0.2554,39866772.06
"1904",1904,104,18,-1,1,0,0.612067460734397,0,1,50,50,28024.51,0.183,15707458.48
"1905",1905,105,18,-1,1,0,0.691686067776754,0,1,50,50,45162.99,0.2584,40793917.82
"1906",1906,106,18,-1,1,0,0.695786635414697,0,1,50,50,36744.71,0.2099,27003472.65
"1907",1907,107,18,-1,1,0,0.588912580977194,0,1,50,50,46197.62,0.2349,42684398.44
"1908",1908,108,18,-1,1,0,0.492000254662707,0,1,50,50,48544.86,0.2885,47132065.03
"1909",1909,109,18,-1,1,0,0.424457571888343,0,1,50,50,68790.17,0.3463,94641743.89
"1910",1910,110,18,-1,1,0,0.608931472804397,0,1,50,50,47333.81,0.2791,44809793.19
"1911",1911,111,18,-1,1,0,0.630149783543311,0,1,50,50,45996.43,0.2982,42313433.53
"1912",1912,112,18,-1,1,0,0.537258676323108,0,1,50,50,50051.55,0.2664,50103143.63
"1913",1913,113,18,-1,1,0,0.609261972433887,0,1,50,50,47943,0.3029,45970622.03
"1914",1914,114,18,-1,1,0,0.44396616849117,0,1,50,50,46865.98,0.2705,43928400.55
"1915",1915,115,18,-1,1,0,0.62967615139205,0,1,50,50,43203.21,0.2606,37330346.76
"1916",1916,116,18,-1,1,0,0.474098467431031,0,1,50,50,51424.32,0.321,52889204.22
"1917",1917,117,18,-1,1,0,0.522965389839374,0,1,50,50,56423.12,0.3422,63671363.24
"1918",1918,118,18,-1,1,0,0.66352511618752,0,1,50,50,41139.24,0.241,33848735.37
"1919",1919,119,18,-1,1,0,0.40845462072175,0,1,50,50,66562.84,0.3733,88612231.57
"1920",1920,120,18,-1,1,0,0.572027358436026,0,1,50,50,58257.42,0.2774,67878531.58
"1921",1921,121,18,-1,1,0,0.426606945414096,0,1,50,50,42261.15,0.2611,35720099.44
"1922",1922,122,18,-1,1,0,0.553604837786406,0,1,50,50,43909.39,0.2609,38560690.08
"1923",1923,123,18,-1,1,0,0.466230210568756,0,1,50,50,56763.76,0.3127,64442484.85
"1924",1924,124,18,-1,1,0,0.468721543811262,0,1,50,50,55048.36,0.3207,60606442.56
"1925",1925,125,18,-1,1,0,0.564383342559449,0,1,50,50,39569.25,0.2328,31314517.49
"1926",1926,126,18,-1,1,0,0.639630637480877,0,1,50,50,43521.81,0.2564,37882963.59
"1927",1927,127,18,-1,1,0,0.472973419679329,0,1,50,50,49424.44,0.3092,48855502.2
"1928",1928,128,18,-1,1,0,0.5885258753784,0,1,50,50,42531.17,0.2732,36178016.8
"1929",1929,129,18,-1,1,0,0.689725302299485,0,1,50,50,37088.65,0.2311,27511365.18
"1930",1930,130,18,-1,1,0,0.432165230088867,0,1,50,50,72666.37,0.3962,105608018.8
"1931",1931,131,18,-1,1,0,0.514588989736512,0,1,50,50,45244.47,0.2582,40941243.29
"1932",1932,132,18,-1,1,0,0.60327201038599,0,1,50,50,45131.85,0.2682,40737674.38
"1933",1933,133,18,-1,1,0,0.690774297830649,0,1,50,50,44622.19,0.2526,39822799.57
"1934",1934,134,18,-1,1,0,0.63222830707673,0,1,50,50,40693.04,0.2207,33118475.14
"1935",1935,135,18,-1,1,0,0.66729352241382,0,1,50,50,37610.65,0.2136,28291219.3
"1936",1936,136,18,-1,1,0,0.690378242079169,0,1,50,50,40413.41,0.2288,32664876.71
"1937",1937,137,18,-1,1,0,0.401144813955762,0,1,50,50,50209.92,0.3317,50420723.9
"1938",1938,138,18,-1,1,0,0.521839334652759,0,1,50,50,66802.32,0.3501,89251003.71
"1939",1939,139,18,-1,1,0,0.492041503824294,0,1,50,50,48499.82,0.2568,47044653.72
"1940",1940,140,18,-1,1,0,0.412286162097007,0,1,50,50,58811.19,0.3589,69175113.3
"1941",1941,141,18,-1,1,0,0.49854828696698,0,1,50,50,58667.29,0.3139,68837008.08
"1942",1942,142,18,-1,1,0,0.674203489348292,0,1,50,50,43370.58,0.2542,37620147.97
"1943",1943,143,18,-1,1,0,0.403027459117584,0,1,50,50,60295.36,0.3361,72710607.72
"1944",1944,144,18,-1,1,0,0.445015237433836,0,1,50,50,39105.28,0.2336,30584453.69
"1945",1945,145,18,-1,1,0,0.691860505868681,0,1,50,50,33115.34,0.2117,21932510.42
"1946",1946,146,18,-1,1,0,0.608387549663894,0,1,50,50,45628.41,0.2815,41639034.74
"1947",1947,147,18,-1,1,0,0.427271389286034,0,1,50,50,48236.8,0.2703,46535780.25
"1948",1948,148,18,-1,1,0,0.523744775168598,0,1,50,50,57011.56,0.3381,65006366.59
"1949",1949,149,18,-1,1,0,0.460779988602735,0,1,50,50,49523.82,0.2803,49052173.44
"1950",1950,150,18,-1,1,0,0.448743205447681,0,1,50,50,52333.54,0.3074,54775996.96
"1951",1951,151,18,-1,1,0,0.477959671872668,0,1,50,50,48976.06,0.2648,47973090.67
"1952",1952,152,18,-1,1,0,0.665234660310671,0,1,50,50,40780.52,0.2513,33261018.79
"1953",1953,153,18,-1,1,0,0.588476676749997,0,1,50,50,35319.98,0.2174,24950021.26
"1954",1954,154,18,-1,1,0,0.404288635891862,0,1,50,50,62768.58,0.3567,78797880.48
"1955",1955,155,18,-1,1,0,0.633651787391864,0,1,50,50,39376.53,0.2313,31010215.48
"1956",1956,156,18,-1,1,0,0.581287754559889,0,1,50,50,56886.5,0.3741,64721478.34
"1957",1957,157,18,-1,1,0,0.548574149142951,0,1,50,50,42580.73,0.2717,36262369.24
"1958",1958,158,18,-1,1,0,0.498279520333745,0,1,50,50,44209.94,0.2704,39090368.04
"1959",1959,159,18,-1,1,0,0.449411892937496,0,1,50,50,63626.81,0.3454,80967431.18
"1960",1960,160,18,-1,1,0,0.485042299516499,0,1,50,50,42332.18,0.2437,35840272.07
"1961",1961,161,18,-1,1,0,0.494282484496944,0,1,50,50,48899.01,0.3014,47822255.81
"1962",1962,162,18,-1,1,0,0.525129645713605,0,1,50,50,50112.29,0.292,50224823.56
"1963",1963,163,18,-1,1,0,0.588597299670801,0,1,50,50,44315.15,0.257,39276646.75
"1964",1964,164,18,-1,1,0,0.566041099233553,0,1,50,50,48712.63,0.2925,47458410.69
"1965",1965,165,18,-1,1,0,0.498680594051257,0,1,50,50,49479.82,0.2904,48965057.87
"1966",1966,166,18,-1,1,0,0.675304252631031,0,1,50,50,43415.58,0.2636,37698252.96
"1967",1967,167,18,-1,1,0,0.419735116139054,0,1,50,50,61017.67,0.3247,74463113.38
"1968",1968,168,18,-1,1,0,0.671004564152099,0,1,50,50,33189.01,0.2073,22030210.21
"1969",1969,169,18,-1,1,0,0.423530578520149,0,1,50,50,50393.72,0.3339,50790530.59
"1970",1970,170,18,-1,1,0,0.578922149515711,0,1,50,50,42814.6,0.2711,36661791.06
"1971",1971,171,18,-1,1,0,0.542048082943074,0,1,50,50,49283.5,0.2913,48577270.42
"1972",1972,172,18,-1,1,0,0.486978122056462,0,1,50,50,56201.28,0.3204,63171683.97
"1973",1973,173,18,-1,1,0,0.511517240293324,0,1,50,50,57692.26,0.353,66567930.93
"1974",1974,174,18,-1,1,0,0.425797970918939,0,1,50,50,52427.82,0.3118,54973515.97
"1975",1975,175,18,-1,1,0,0.481333877542056,0,1,50,50,59131.1,0.3294,69929735.43
"1976",1976,176,18,-1,1,0,0.526188202272169,0,1,50,50,45934.88,0.2883,42200255.84
"1977",1977,177,18,-1,1,0,0.476105125085451,0,1,50,50,63137.29,0.3398,79726342.89
"1978",1978,178,18,-1,1,0,0.607655472704209,0,1,50,50,53304.05,0.307,56826432.43
"1979",1979,179,18,-1,1,0,0.69370992090553,0,1,50,50,39210.32,0.2135,30748977.78
"1980",1980,180,18,-1,1,0,0.533994563738815,0,1,50,50,43917.73,0.2593,38575342.88
"1981",1981,181,18,-1,1,0,0.617307155975141,0,1,50,50,36300.23,0.2447,26354135.28
"1982",1982,182,18,-1,1,0,0.484619070612825,0,1,50,50,59964.44,0.324,71914692.01
"1983",1983,183,18,-1,1,0,0.641027139383368,0,1,50,50,44052.33,0.2677,38812160.09
"1984",1984,184,18,-1,1,0,0.422355615417473,0,1,50,50,57571.45,0.3363,66289444.55
"1985",1985,185,18,-1,1,0,0.571536167874001,0,1,50,50,43157.58,0.287,37251528.47
"1986",1986,186,18,-1,1,0,0.68135842194315,0,1,50,50,40181.97,0.22,32291820.77
"1987",1987,187,18,-1,1,0,0.628331314702518,0,1,50,50,42016.71,0.2445,35308084.71
"1988",1988,188,18,-1,1,0,0.483329328941181,0,1,50,50,54280.17,0.3071,58926726.54
"1989",1989,189,18,-1,1,0,0.670829548337497,0,1,50,50,32354.72,0.1925,20936560.28
"1990",1990,190,18,-1,1,0,0.629051386611536,0,1,50,50,49334.4,0.2416,48677665.34
"1991",1991,191,18,-1,1,0,0.419310951814987,0,1,50,50,65309.7,0.3583,85307149.39
"1992",1992,192,18,-1,1,0,0.533151393383741,0,1,50,50,60965.24,0.3495,74335219.29
"1993",1993,193,18,-1,1,0,0.613045796193182,0,1,50,50,46684.66,0.2698,43589155.64
"1994",1994,194,18,-1,1,0,0.573480610782281,0,1,50,50,53205.97,0.276,56617507.95
"1995",1995,195,18,-1,1,0,0.69242616314441,0,1,50,50,44208.51,0.2523,39087854.15
"1996",1996,196,18,-1,1,0,0.614996444014832,0,1,50,50,46539.48,0.273,43318467.12
"1997",1997,197,18,-1,1,0,0.625107096834108,0,1,50,50,33060.75,0.2215,21860266.65
"1998",1998,198,18,-1,1,0,0.600899169663899,0,1,50,50,57713.42,0.2846,66616777.34
"1999",1999,199,18,-1,1,0,0.553691561426967,0,1,50,50,39405.6,0.2402,31056026.06
"2000",2000,200,18,-1,1,0,0.499621898052283,0,1,50,50,46469.44,0.3009,43188181.35
"2001",2001,1,20,-1,1,0,0.527991628460586,0,1,50,50,44197.91,0.2578,39069108.65
"2002",2002,2,20,-1,1,0,0.482985303504393,0,1,50,50,42094.38,0.2476,35438729.68
"2003",2003,3,20,-1,1,0,0.695366599177942,0,1,50,50,38808.92,0.2395,30122651.47
"2004",2004,4,20,-1,1,0,0.505895524378866,0,1,50,50,51191.16,0.2759,52410697.06
"2005",2005,5,20,-1,1,0,0.45386042019818,0,1,50,50,52809.26,0.2909,55776355.19
"2006",2006,6,20,-1,1,0,0.444459357718006,0,1,50,50,44582.21,0.2602,39751475.33
"2007",2007,7,20,-1,1,0,0.534424315998331,0,1,50,50,49594.7,0.2731,49192679.73
"2008",2008,8,20,-1,1,0,0.407673710933886,0,1,50,50,68284.31,0.3493,93254936.17
"2009",2009,9,20,-1,1,0,0.508358747931197,0,1,50,50,51930.15,0.3079,53934804.62
"2010",2010,10,20,-1,1,0,0.441648740530945,0,1,50,50,66067.11,0.3465,87297272.39
"2011",2011,11,20,-1,1,0,0.559720073873177,0,1,50,50,60752,0.3025,73816099.53
"2012",2012,12,20,-1,1,0,0.6935050298227,0,1,50,50,33688.42,0.2114,22698193.44
"2013",2013,13,20,-1,1,0,0.427945228083991,0,1,50,50,58752.55,0.3229,69037245.02
"2014",2014,14,20,-1,1,0,0.552470725146122,0,1,50,50,43714.33,0.2737,38218846.44
"2015",2015,15,20,-1,1,0,0.494109472655691,0,1,50,50,40577.54,0.2629,32930743.09
"2016",2016,16,20,-1,1,0,0.621824423084036,0,1,50,50,46211.55,0.2791,42710150.81
"2017",2017,17,20,-1,1,0,0.603242406272329,0,1,50,50,38378.53,0.2498,29458228.91
"2018",2018,18,20,-1,1,0,0.670023824064992,0,1,50,50,48616.34,0.2887,47270966.23
"2019",2019,19,20,-1,1,0,0.403615242941305,0,1,50,50,53882.68,0.3134,58066873.43
"2020",2020,20,20,-1,1,0,0.550898663443513,0,1,50,50,48075.36,0.2828,46224799.29
"2021",2021,21,20,-1,1,0,0.525767541653477,0,1,50,50,55799.19,0.3095,62270995.2
"2022",2022,22,20,-1,1,0,0.529028469393961,0,1,50,50,69652.85,0.3501,97030400.13
"2023",2023,23,20,-1,1,0,0.690386427077465,0,1,50,50,40394.1,0.2403,32633670.64
"2024",2024,24,20,-1,1,0,0.579034177423455,0,1,50,50,49432.78,0.2771,48871994.16
"2025",2025,25,20,-1,1,0,0.436527380300686,0,1,50,50,50492.41,0.3141,50989666.63
"2026",2026,26,20,-1,1,0,0.585934555879794,0,1,50,50,36529.91,0.2102,26688690.83
"2027",2027,27,20,-1,1,0,0.497337555629201,0,1,50,50,51623.46,0.3007,53299638.17
"2028",2028,28,20,-1,1,0,0.5876062968513,0,1,50,50,50743.69,0.284,51498441.56
"2029",2029,29,20,-1,1,0,0.681701642577536,0,1,50,50,35540.45,0.2157,25262471.62
"2030",2030,30,20,-1,1,0,0.673636448010802,0,1,50,50,34577.57,0.2247,23912160.14
"2031",2031,31,20,-1,1,0,0.645634225429967,0,1,50,50,41031.4,0.2394,33671518.29
"2032",2032,32,20,-1,1,0,0.56390820662491,0,1,50,50,47702.55,0.2652,45510666.41
"2033",2033,33,20,-1,1,0,0.418459988106042,0,1,50,50,62001.31,0.3279,76883240.41
"2034",2034,34,20,-1,1,0,0.663220007438213,0,1,50,50,37034.56,0.2105,27431167.76
"2035",2035,35,20,-1,1,0,0.57734391852282,0,1,50,50,45889.18,0.2719,42116345.64
"2036",2036,36,20,-1,1,0,0.678413325431757,0,1,50,50,31448.1,0.1892,19779655.74
"2037",2037,37,20,-1,1,0,0.507133277854882,0,1,50,50,49947,0.3245,49894065.46
"2038",2038,38,20,-1,1,0,0.600433284067549,0,1,50,50,35589.15,0.1942,25331750.25
"2039",2039,39,20,-1,1,0,0.436012603831477,0,1,50,50,46059.92,0.2765,42430319.32
"2040",2040,40,20,-1,1,0,0.452211974631064,0,1,50,50,59538.31,0.3148,70896205.42
"2041",2041,41,20,-1,1,0,0.454122332739644,0,1,50,50,47138.56,0.2485,44440876.06
"2042",2042,42,20,-1,1,0,0.483762849704362,0,1,50,50,49242.17,0.277,48495834.26
"2043",2043,43,20,-1,1,0,0.42096317014657,0,1,50,50,57864.92,0.3308,66966987.8
"2044",2044,44,20,-1,1,0,0.422567326715216,0,1,50,50,62190.35,0.3299,77352799.06
"2045",2045,45,20,-1,1,0,0.523890016158111,0,1,50,50,48260.43,0.2669,46581386.27
"2046",2046,46,20,-1,1,0,0.472224532184191,0,1,50,50,56067.78,0.3078,62871916.36
"2047",2047,47,20,-1,1,0,0.468315218691714,0,1,50,50,57223.16,0.3602,65489793.43
"2048",2048,48,20,-1,1,0,0.50855997283943,0,1,50,50,55290.41,0.2759,61140584
"2049",2049,49,20,-1,1,0,0.542519583436661,0,1,50,50,41673.21,0.2517,34733124.39
"2050",2050,50,20,-1,1,0,0.634896484366618,0,1,50,50,44186.04,0.2536,39048117.43
"2051",2051,51,20,-1,1,0,0.521893975511193,0,1,50,50,55854.63,0.3377,62394798.77
"2052",2052,52,20,-1,1,0,0.488811645144597,0,1,50,50,43163.66,0.2672,37262030.01
"2053",2053,53,20,-1,1,0,0.681341490219347,0,1,50,50,39737.28,0.2361,31581029.27
"2054",2054,54,20,-1,1,0,0.500524415913969,0,1,50,50,40717.19,0.228,33157794.82
"2055",2055,55,20,-1,1,0,0.596552348206751,0,1,50,50,30363.72,0.1889,18439104.64
"2056",2056,56,20,-1,1,0,0.644693164713681,0,1,50,50,26569.77,0.1574,14119057.88
"2057",2057,57,20,-1,1,0,0.598431671620347,0,1,50,50,20914.13,0.112,8748017.56
"2058",2058,58,20,-1,1,0,0.443163325008936,0,1,50,50,50704.25,0.3127,51418425.37
"2059",2059,59,20,-1,1,0,0.656784211122431,0,1,50,50,29745.17,0.1821,17695505.29
"2060",2060,60,20,-1,1,0,0.438196571986191,0,1,50,50,65431.26,0.3481,85625008.06
"2061",2061,61,20,-1,1,0,0.497487154789269,0,1,50,50,30886.14,0.174,19079071.45
"2062",2062,62,20,-1,1,0,0.683719990681857,0,1,50,50,42705.11,0.2481,36474529.01
"2063",2063,63,20,-1,1,0,0.408467520959675,0,1,50,50,58349.63,0.3309,68093575.16
"2064",2064,64,20,-1,1,0,0.440310629410669,0,1,50,50,43702.34,0.2244,38197886.77
"2065",2065,65,20,-1,1,0,0.667839710623957,0,1,50,50,42786.97,0.235,36614488.2
"2066",2066,66,20,-1,1,0,0.414904722291976,0,1,50,50,28619.93,0.1805,16382008.63
"2067",2067,67,20,-1,1,0,0.612610883195885,0,1,50,50,44162.93,0.2536,39007287.22
"2068",2068,68,20,-1,1,0,0.578700680565089,0,1,50,50,45304.11,0.2782,41049255.77
"2069",2069,69,20,-1,1,0,0.524338636640459,0,1,50,50,40542.23,0.2499,32873454.23
"2070",2070,70,20,-1,1,0,0.611717299604788,0,1,50,50,40825.22,0.2371,33333970.5
"2071",2071,71,20,-1,1,0,0.511805915902369,0,1,50,50,49699.46,0.2922,49400728.3
"2072",2072,72,20,-1,1,0,0.600568053335883,0,1,50,50,40676.2,0.2616,33091058.02
"2073",2073,73,20,-1,1,0,0.633827227260917,0,1,50,50,40227.4,0.2505,32364870.77
"2074",2074,74,20,-1,1,0,0.696134265977889,0,1,50,50,38211.01,0.2138,29201626.87
"2075",2075,75,20,-1,1,0,0.517164672166109,0,1,50,50,54375.14,0.296,59133122.9
"2076",2076,76,20,-1,1,0,0.513347576512024,0,1,50,50,52558.23,0.3132,55247347.68
"2077",2077,77,20,-1,1,0,0.671764290914871,0,1,50,50,27463.84,0.1608,15085246.17
"2078",2078,78,20,-1,1,0,0.559687189082615,0,1,50,50,55219.85,0.3128,60984632.26
"2079",2079,79,20,-1,1,0,0.69156513067428,0,1,50,50,42882.77,0.2472,36778643.3
"2080",2080,80,20,-1,1,0,0.482060056785122,0,1,50,50,76688.95,0.3631,117623889.75
"2081",2081,81,20,-1,1,0,0.661670663906261,0,1,50,50,29088.93,0.1697,16923318.81
"2082",2082,82,20,-1,1,0,0.644613225175999,0,1,50,50,32628.57,0.1981,21292467.38
"2083",2083,83,20,-1,1,0,0.552516460721381,0,1,50,50,34742.87,0.2165,24141336.4
"2084",2084,84,20,-1,1,0,0.593236946756951,0,1,50,50,42551.96,0.2741,36213383.36
"2085",2085,85,20,-1,1,0,0.542235169536434,0,1,50,50,23848.6,0.1359,11375111.86
"2086",2086,86,20,-1,1,0,0.426396921672858,0,1,50,50,49098.96,0.3154,48214153.97
"2087",2087,87,20,-1,1,0,0.638691541273147,0,1,50,50,37119.1,0.2247,27556544.35
"2088",2088,88,20,-1,1,0,0.513953172019683,0,1,50,50,48519.04,0.2673,47081953.59
"2089",2089,89,20,-1,1,0,0.611251146346331,0,1,50,50,58781.13,0.306,69104421.53
"2090",2090,90,20,-1,1,0,0.575799601548351,0,1,50,50,38223.52,0.2304,29220752.79
"2091",2091,91,20,-1,1,0,0.680222133570351,0,1,50,50,34406.4,0.2008,23676008.59
"2092",2092,92,20,-1,1,0,0.472418866399676,0,1,50,50,52791.54,0.2971,55738929.18
"2093",2093,93,20,-1,1,0,0.477127824281342,0,1,50,50,48823.55,0.2826,47674784.19
"2094",2094,94,20,-1,1,0,0.484612186765298,0,1,50,50,54501.29,0.3012,59407804.34
"2095",2095,95,20,-1,1,0,0.568088113167323,0,1,50,50,43004.04,0.2565,36986947.87
"2096",2096,96,20,-1,1,0,0.498634985252284,0,1,50,50,47885.74,0.2786,45860891.15
"2097",2097,97,20,-1,1,0,0.418182416213676,0,1,50,50,59730.66,0.3283,71355040.22
"2098",2098,98,20,-1,1,0,0.449755711271428,0,1,50,50,34406.95,0.2153,23676761.32
"2099",2099,99,20,-1,1,0,0.560619558603503,0,1,50,50,50343.35,0.2873,50689049.79
"2100",2100,100,20,-1,1,0,0.435764983622357,0,1,50,50,53977.03,0.3224,58270385.46
"2101",2101,101,20,-1,1,0,0.464291737461463,0,1,50,50,36513.24,0.2163,26664340.16
"2102",2102,102,20,-1,1,0,0.697992701339535,0,1,50,50,34074.46,0.2057,23221376.73
"2103",2103,103,20,-1,1,0,0.552232787921093,0,1,50,50,48475.64,0.2894,46997762.48
"2104",2104,104,20,-1,1,0,0.495435487153009,0,1,50,50,47783.86,0.2882,45665941.09
"2105",2105,105,20,-1,1,0,0.479761060210876,0,1,50,50,56663.89,0.3225,64215939.59
"2106",2106,106,20,-1,1,0,0.686570163117722,0,1,50,50,36540.29,0.2111,26703855.43
"2107",2107,107,20,-1,1,0,0.466811992111616,0,1,50,50,38215.8,0.231,29208948.6
"2108",2108,108,20,-1,1,0,0.675875952350907,0,1,50,50,42321.55,0.2249,35822279.24
"2109",2109,109,20,-1,1,0,0.682271802332252,0,1,50,50,43088.01,0.2325,37131537.37
"2110",2110,110,20,-1,1,0,0.59704148164019,0,1,50,50,36607.1,0.2226,26801592.69
"2111",2111,111,20,-1,1,0,0.579971603117883,0,1,50,50,42299.77,0.277,35785415.41
"2112",2112,112,20,-1,1,0,0.421695284475572,0,1,50,50,57174.18,0.3307,65377741.1
"2113",2113,113,20,-1,1,0,0.441858937568031,0,1,50,50,44654.87,0.2888,39881148.08
"2114",2114,114,20,-1,1,0,0.502879454451613,0,1,50,50,41939.83,0.252,35178981
"2115",2115,115,20,-1,1,0,0.430046192766167,0,1,50,50,64176.22,0.3381,82371738.7
"2116",2116,116,20,-1,1,0,0.475064057228155,0,1,50,50,28077.7,0.1569,15767141.95
"2117",2117,117,20,-1,1,0,0.446854996378534,0,1,50,50,59850.07,0.3426,71640611.99
"2118",2118,118,20,-1,1,0,0.535201173415408,0,1,50,50,41469.56,0.2471,34394484.36
"2119",2119,119,20,-1,1,0,0.473060426209122,0,1,50,50,56833.54,0.3275,64601030.16
"2120",2120,120,20,-1,1,0,0.443133945879526,0,1,50,50,54973.36,0.3238,60441405.87
"2121",2121,121,20,-1,1,0,0.556997227715328,0,1,50,50,54541.22,0.2775,59494898.96
"2122",2122,122,20,-1,1,0,0.499494312424213,0,1,50,50,43551.52,0.2392,37934692.38
